"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2023","13.48","13.90","13.90","13.21","369.12K","0.22%"
"01/23/2023","13.45","13.39","13.49","13.10","569.33K","0.45%"
"01/20/2023","13.39","13.72","13.72","13.06","1.09M","-1.62%"
"01/19/2023","13.61","13.55","13.88","13.51","1.36M","0.44%"
"01/18/2023","13.55","13.12","13.78","13.01","2.07M","3.28%"
"01/17/2023","13.12","14.10","14.32","13.07","3.75M","-6.82%"
"01/16/2023","14.08","14.26","14.30","14.05","1.01M","-2.02%"
"01/13/2023","14.37","14.61","14.72","14.30","2.07M","-2.77%"
"01/12/2023","14.78","15.00","15.00","14.65","1.58M","-1.79%"
"01/11/2023","15.05","15.33","15.42","14.90","5.71M","0.13%"
"01/10/2023","15.03","14.11","15.03","14.11","17.21M","7.28%"
"01/09/2023","14.01","14.32","14.32","13.80","912.16K","-1.20%"
"01/06/2023","14.18","14.13","14.23","14.05","567.73K","0.14%"
"01/05/2023","14.16","14.09","14.19","14.00","393.17K","0.64%"
"01/04/2023","14.07","14.09","14.30","13.98","1.90M","0.36%"
"01/03/2023","14.02","14.24","14.45","14.00","1.76M","-0.99%"
"01/02/2023","14.16","14.15","14.41","14.04","3.22M","0.28%"
"12/30/2022","14.12","14.10","14.45","14.01","2.37M","-0.35%"
"12/29/2022","14.17","14.38","14.38","13.95","1.93M","0.07%"
"12/28/2022","14.16","14.20","14.49","14.10","2.50M","-0.63%"
"12/27/2022","14.25","14.64","14.75","14.16","1.11M","-3.26%"
"12/26/2022","14.73","14.54","14.80","14.45","1.73M","2.29%"
"12/23/2022","14.40","14.20","14.65","13.72","4.14M","0.84%"
"12/22/2022","14.28","13.76","14.44","13.62","3.18M","3.10%"
"12/21/2022","13.85","13.94","14.24","13.10","4.66M","-1.42%"
"12/20/2022","14.05","14.92","15.04","13.85","6.39M","-7.26%"
"12/19/2022","15.15","15.37","15.49","14.56","3.92M","-1.24%"
"12/16/2022","15.34","15.89","15.89","15.15","4.86M","-2.91%"
"12/15/2022","15.80","15.87","16.05","15.60","3.62M","-1.37%"
"12/14/2022","16.02","15.60","16.38","15.55","8.26M","2.69%"
"12/13/2022","15.60","15.89","16.00","15.50","4.01M","-1.89%"
"12/12/2022","15.90","16.26","16.43","15.76","2.77M","-2.45%"
"12/09/2022","16.30","16.65","16.65","16.15","2.86M","-1.51%"
"12/08/2022","16.55","16.88","16.89","16.50","1.56M","-1.43%"
"12/07/2022","16.79","16.88","17.10","16.74","2.12M","-0.06%"
"12/06/2022","16.80","16.70","16.87","16.51","2.56M","0.96%"
"12/05/2022","16.64","17.12","17.15","16.50","2.32M","-2.23%"
"12/02/2022","17.02","16.90","17.19","16.45","3.11M","0.00%"
"12/01/2022","17.02","17.30","17.35","16.91","2.71M","-1.05%"
"11/30/2022","17.20","17.56","17.60","17.16","3.28M","-1.77%"
"11/29/2022","17.51","16.60","17.74","16.52","10.14M","5.04%"
"11/28/2022","16.67","16.40","16.90","16.35","6.81M","-2.46%"
"11/25/2022","17.09","17.40","17.41","17.00","3.31M","-0.58%"
"11/24/2022","17.19","17.45","17.45","17.01","5.10M","-1.04%"
"11/23/2022","17.37","17.70","17.74","17.24","3.35M","-1.14%"
"11/22/2022","17.57","17.24","17.95","17.09","14.08M","2.33%"
"11/21/2022","17.17","16.90","17.38","16.85","8.73M","2.69%"
"11/18/2022","16.72","16.78","17.30","16.08","58.80M","-1.94%"
"11/17/2022","17.05","18.44","18.65","17.02","11.59M","-7.24%"
"11/16/2022","18.38","18.91","18.91","17.80","19.42M","-2.70%"
"11/15/2022","18.89","19.85","20.15","18.65","10.77M","-4.35%"
"11/14/2022","19.75","20.37","20.37","19.55","4.16M","-2.57%"
"11/11/2022","20.27","20.40","20.45","20.15","1.33M","-0.15%"
"11/10/2022","20.30","20.00","20.40","20.00","1.76M","1.25%"
"11/08/2022","20.05","20.16","20.35","19.93","1.27M","-0.74%"
"11/07/2022","20.20","20.14","20.50","20.05","1.26M","1.30%"
"11/04/2022","19.94","20.10","20.65","19.82","6.43M","-3.90%"
"11/03/2022","20.75","20.31","21.07","20.20","4.74M","1.52%"
